trade_no,side,entry_time,exit_time,entry_price,exit_price,size_usd,margin_used,pnl_usd,pnl_pct,exit_reason
8665,long,2024-03-05 11:15,2024-03-05 11:30,3728.47,3736.26,2.022027829709098e+205,5.655900700814877e+203,3.0114644162601375e+202,5.32,signal
8666,long,2024-03-05 12:00,2024-03-05 12:10,3749.73,3771.156,2.122159021549748e+205,5.9359819488491515e+203,1.085272123620534e+203,18.28,take_profit
8667,long,2024-03-05 12:10,2024-03-05 12:30,3762.36,3770.32,2.483012002653575e+205,6.945339287422429e+203,3.7634847590715197e+202,5.42,signal
8668,long,2024-03-05 12:45,2024-03-05 13:15,3759.34,3770.45,2.6081478708927037e+205,7.295362187439876e+203,6.1429862889337e+202,8.42,signal
8669,short,2024-03-05 13:20,2024-03-05 13:30,3781.33,3759.7235,2.812402164999749e+205,7.866690627242155e+203,1.4382624671808863e+203,18.28,take_profit
8670,long,2024-03-05 13:30,2024-03-05 13:45,3758.12,3779.5939,3.290624435337394e+205,9.204346634843738e+203,1.6828253362315377e+203,18.28,take_profit
8671,long,2024-03-05 13:50,2024-03-05 14:00,3773.35,3788.41,3.8501638596343797e+205,1.0769458338805881e+204,1.3056477200960079e+203,12.12,signal
8672,short,2024-03-05 14:05,2024-03-05 14:20,3785.35,3763.7205,4.284291726566303e+205,1.1983776000881175e+204,2.190986788966002e+203,18.28,take_profit
8673,long,2024-03-05 14:30,2024-03-05 14:40,3760.46,3781.9473,5.012794833897499e+205,1.4021503263959003e+204,2.5635432780552086e+203,18.28,take_profit
8674,long,2024-03-05 14:45,2024-03-05 15:00,3791.93,3813.5971,5.865172973850855e+205,1.640572668971425e+204,2.9994494588273184e+203,18.28,take_profit
8675,long,2024-03-05 15:05,2024-03-05 15:15,3800.96,3822.6787,6.862489918910938e+205,1.9195364658896597e+204,3.509477344531085e+203,18.28,take_profit
8676,short,2024-03-05 15:15,2024-03-05 15:25,3805.45,3783.7057,8.029391135967524e+205,2.245935406317773e+204,4.10623062693381e+203,18.28,take_profit
8677,long,2024-03-05 15:30,2024-03-05 15:35,3776.52,3798.099,9.394712819423017e+205,2.627835385775752e+204,4.804456135852924e+203,18.28,take_profit
8678,short,2024-03-05 15:45,2024-03-05 16:00,3805.58,3783.8349,1.0992194484594114e+206,3.0746738286907535e+204,5.621408259421364e+203,18.28,take_profit
8679,short,2024-03-05 16:00,2024-03-05 16:05,3775.26,3753.6882,1.2861312730851718e+206,3.597492903858237e+204,6.577275330557497e+203,18.28,take_profit
8680,long,2024-03-05 16:15,2024-03-05 16:20,3689.0,3710.0789,1.5048256778262084e+206,4.209212395976737e+204,7.695678516403266e+203,18.28,take_profit
8681,long,2024-03-05 16:20,2024-03-05 16:35,3724.27,3702.9895,1.760706988496617e+206,4.924948976394822e+204,-1.1117103925367673e+204,-22.57,stop_loss
8682,short,2024-03-05 16:35,2024-03-05 16:45,3711.01,3689.8053,1.391063282978142e+206,3.8910027258160027e+204,7.113897629150292e+203,18.28,take_profit
8683,long,2024-03-05 17:05,2024-03-05 17:10,3612.97,3592.3255,1.627600379147389e+206,4.5526307748151254e+204,-1.0276668793936553e+204,-22.57,stop_loss
8684,long,2024-03-05 17:30,2024-03-05 17:40,3634.59,3655.358,1.285901141748999e+206,3.596849193635057e+204,6.57609843890438e+203,18.28,take_profit
8685,long,2024-03-05 17:45,2024-03-05 17:55,3669.58,3690.548,1.5045564148425695e+206,4.2084592289453586e+204,7.694301505504898e+203,18.28,take_profit
8686,short,2024-03-05 18:00,2024-03-05 18:10,3680.51,3659.4796,1.7603919399006073e+206,4.9240677404648414e+204,9.002644380651766e+203,18.28,take_profit
8687,short,2024-03-05 18:30,2024-03-05 18:45,3661.72,3640.7969,2.0597298655572785e+206,5.761358681087359e+204,1.0533458532459991e+204,18.28,take_profit
8688,short,2024-03-05 19:00,2024-03-05 19:05,3628.19,3607.4585,2.409967361761573e+206,6.7410229918988e+204,1.2324573088048757e+204,18.28,take_profit
8689,long,2024-03-05 19:15,2024-03-05 19:20,3553.47,3573.7745,2.8197594169391946e+206,7.887269911952775e+204,1.442024965822705e+204,18.28,take_profit
8690,long,2024-03-05 19:50,2024-03-05 19:55,3411.62,3323.8926,3.2992327180752434e+206,9.228425231416181e+204,-9.228425231416181e+204,-100.0,liquidation
8691,long,2024-03-05 19:55,2024-03-05 20:00,3373.02,3392.2934,2.3078132862936367e+205,6.455283449375631e+203,1.1802157146105774e+203,18.28,take_profit
8692,long,2024-03-05 21:00,2024-03-05 21:05,3419.73,3439.2703,2.7002350114016536e+205,7.552943074749196e+203,1.380900184830794e+203,18.28,take_profit
8693,long,2024-03-05 21:30,2024-03-05 21:35,3497.62,3517.6054,3.159384322857893e+205,8.837249291651077e+203,1.6157091427095367e+203,18.28,take_profit
8694,long,2024-03-05 21:45,2024-03-05 22:00,3504.01,3524.0319,3.696607612808814e+205,1.0339939579828082e+204,1.8904451331904193e+203,18.28,take_profit
8695,short,2024-03-05 22:00,2024-03-05 22:15,3519.86,3499.7475,4.325180619594628e+205,1.209814807595183e+204,2.211897368860669e+203,18.28,take_profit
8696,long,2024-03-05 22:20,2024-03-05 22:25,3456.26,3476.0091,5.0606364947408e+205,1.4155323223860696e+204,2.5880095034104476e+203,18.28,take_profit
8697,short,2024-03-05 22:30,2024-03-05 22:40,3495.09,3475.1191,5.921149654624774e+205,1.6562301462507582e+204,3.0280759333751306e+203,18.28,take_profit
8698,long,2024-03-05 22:45,2024-03-05 22:50,3471.48,3491.316,6.927984902472005e+205,1.9378563484343122e+204,3.542971479124145e+203,18.28,take_profit
8699,long,2024-03-05 22:50,2024-03-05 23:00,3494.07,3514.0351,8.106022919280783e+205,2.267370410850253e+204,4.145420120920207e+203,18.28,take_profit
8700,long,2024-03-05 23:10,2024-03-05 23:25,3515.44,3535.5272,9.484375109486749e+205,2.6529152091964363e+204,4.850309430991525e+203,18.28,take_profit
8701,long,2024-03-05 23:25,2024-03-05 23:45,3541.53,3561.7663,1.1097102995291432e+206,3.1040182378258034e+204,5.675058471792007e+203,18.28,take_profit
